Accession	BSF	PCF
Tb11.01.4560	8.1732	6.6841
Tb927.1.2870	0	0
Tb927.10.14470	54.0344	32.8258
Tb927.10.10130	54.3769	60.0568
Tb11.02.5680	255.8021	84.1914
Tb11.0460	0	0
Tb927.5.4890	0.7422	0
Tb927.5.390	0.3058	0
Tb927.6.1360	0	0
Tb927.5.1290	58.4475	39.4119
Tb927.8.860	54.6015	36.9168
Tb09.v4.0037	0	0
Tb927.7.3860	87.3925	66.6257
Tb09.160.5060	108.5793	137.6272
Tb927.8.7250	15.375	10.3001
Tb927.4.680	60.3266	60.494
Tb927.3.3449	0	0
Tb927.6.4440	265.9983	283.0727
Tb927.4.5370	13.0215	10.8252
Tb927.3.1250	81.9012	150.7925
Tb09.160.1440	43.1458	48.0351
Tb11.01.2660	38.9059	27.6778
Tb927.10.15680	17.3407	17.2355
Tb927.6.182	358.2631	85.3988
Tb11.02.2220	36.3219	23.7317
Tb927.3.4650	90.4909	105.4994
tmp.1.40	0	0
Tb927_09_v4.snoRNA.0106	0	0
Tb927.8.2086	0	0
Tb11.0670	0	0
Tb927.10.9860	34.0184	42.7828
Tb11.03.0115	64.5325	78.7661
Tb09.160.2960	56.264	68.6293
Tb09.v4.0208	0	0
Tb927.7.6720	35.6309	39.1874
Tb11.1110	0	0
Tb927.8.200	0	0
Tb927.10.810	45.3554	65.581
Tb927.4.4190	52.6584	33.5651
Tb927.8.800	31.0938	25.2507
Tb927.4.3220	0	0
Tb11.38.0006	0	0
Tb927.10.5120	83.3052	87.4676
Tb11.02.1910	68.8704	61.6245
Tb11.02.0110	23.371	67.4803
Tb927.3.560	47.1685	0.871
Tb09.354.0210	0	0
Tb927.10.12750	26.7147	20.1713
Tb11.01.1340	97.5381	124.1415
Tb927.4.3360	39.4803	48.2486
Tb927.3.3290	32.5131	34.1114
Tb09.211.4540	143.6285	182.7308
Tb927.6.1620	32.3585	36.3622
Tb09.160.4450	133.4669	237.7783
Tb927.4.770	30.4388	28.7843
Tb927.8.5700	32.7983	39.8814
Tb927.1.3450	34.3542	47.0392
Tb927.7.5610	27.1278	27.8398
Tb927.6.4380	34.9666	40.0468
Tb927.4.4060	32.8196	38.3157
Tb927.7.1380	50.758	49.6921
Tb11.01.0920	63.3051	64.412
Tb927.8.2851	3.4682	0
Tb927.7.2250	0	0
Tb927.3.170	0	0
Tb05.5K5.100	0	0
Tb11.01.8240	114.6949	79.2836
Tb927.8.1618	0	0
Tb09.211.1180	43.6482	67.9463
Tb927.10.15570	38.5215	33.1546
Tb927.3.1895	0	0
Tb09.211.1790	66.7001	51.7156
Tb927.10.12040	56.0987	36.7973
Tb11.02.3320	66.1804	60.7521
Tb927.4.4100	34.3615	23.6658
Tb927.10.10560	0	0
Tb09.v4.0054	0	0
Tb11.01.0160	44.9576	40.3158
Tb927_10_v4.snoRNA.0063:snoRNA	11.3623	15.4619
Tb09.244.2690	23.9734	50.7341
Tb927.10.8040	100.6686	67.5578
Tb09.160.2100	32.5751	28.8872
Tb927.5.3580	55.1725	65.6702
Tb11.v4.0008	13.4293	19.5645
Tb09.160.1100	65.0902	96.4183
Tb11.01.8710	29.0868	38.5909
Tb11.12.0016	69.7386	26.9227
Tb11.01.3670	21.3167	24.0824
Tb927.6.5300	0	0
Tb10.v4.0131	0	0
Tb927.8.6370	28.5864	36.3114
Tb927.1.980	29.1295	6.0739
Tb09.160.1410	51.5237	33.471
Tb09.211.1420	0	0
Tb11.0350	64.937	57.8967
tryp_IXb-6d06.q1c.snoRNA.0026	0	0
Tb927.5.2520	20.8836	35.1205
Tb927.10.290	135.9897	128.3024
Tb927.4.4040	249.8457	144.805
Tb927.7.2050	30.2336	30.3479
Tb927.4.3770	53.7639	31.6438
Tb927.7.6390	18.1736	21.1281
Tb927.10.2350	90.2104	121.2963
Tb927.4.3790	96.9404	82.7266
Tb927.3.4490	42.4955	20.7671
Tb927.10.7040	36.152	30.8778
Tb10.v4.0045	2.1629	2.1202
Tb11.02.5160	27.8334	51.0375
Tb11.39.0006	0	0
Tb927.10.9750	24.1879	32.3494
Tb927.1.2985	66.3629	57.3235
Tb927.8.2990	61.1749	45.7645
Tb927.6.2880	47.7029	39.9802
Tb927.8.2910	10.6247	11.4306
Tb927.10.180	137.0671	306.3362
Tb927.3.2180	164.3715	374.3815
Tb927.7.1520	38.2103	34.9351
Tb09.211.4770	50.6088	57.0613
Tb927.8.7450	35.4583	17.5053
Tb927.2.4130	50.0011	58.9036
Tb09.v4.0162	0	0
Tb927.7.6750	43.1631	35.9572
Tb927.3.570	23.297	0
Tb927.4.690	42.7973	29.0856
Tb927.8.2010	30.1276	23.9012
Tb927.8.3230	47.4524	81.4561
Tb927.2.270	19.1558	13.2942
Tb927.10.13790	107.9056	37.6375
Tb927.8.2920	1.204	1.7146
Tb927.5.2960	162.8843	172.6475
Tb09.211.2120	503.834	468.7859
Tb10.v4.0032	0.3664	0
Tb927.7.190	166.174	329.396
